PSZ2 G028.08+10.79	 28.0826013	 10.7941475
PSZ2 G028.15-08.62	 28.1585667	 -8.6247124
PSZ2 G028.63+50.15	 28.6303272	 50.1566029
PSZ2 G028.77-33.56	 28.7759490	-33.5640644
PSZ2 G028.89+60.13	 28.8925084	 60.1362993
PSZ2 G029.06+44.55	 29.0671908	 44.5546532
PSZ2 G029.55-60.16	 29.5586511	-60.1678424
PSZ2 G029.66-47.63	 29.6689192	-47.6350624
PSZ2 G029.80-17.40	 29.8035954	-17.4010584
PSZ2 G029.87-17.81	 29.8770039	-17.8160537
PSZ2 G030.27-16.94	 30.2728054	-16.9475460
PSZ2 G030.70+09.44	 30.7040014	  9.4426262
PSZ2 G030.90+34.37	 30.9086721	 34.3722329
PSZ2 G031.37-71.95	 31.3747123	-71.9592674
PSZ2 G031.41-19.16	 31.4169161	-19.1637288
PSZ2 G031.93+78.71	 31.9350310	 78.7172319
PSZ2 G032.12-14.96	 32.1232095	-14.9639703
PSZ2 G032.13-44.36	 32.1312316	-44.3644376
PSZ2 G032.31+66.07	 32.3169523	 66.0758455
PSZ2 G032.77+19.69	 32.7786066	 19.6982408
PSZ2 G033.27-17.54	 33.2770532	-17.5401237
PSZ2 G033.46-48.43	 33.4638340	-48.4307392
PSZ2 G033.81+77.18	 33.8178000	 77.1829707
PSZ2 G033.83-46.57	 33.8329971	-46.5718181
PSZ2 G033.97-76.61	 33.9715071	-76.6177687
PSZ2 G034.38+51.57	 34.3804948	 51.5728127
PSZ2 G034.78+31.71	 34.7865125	 31.7145719
PSZ2 G035.89-61.39	 35.8946836	-61.3936680
PSZ2 G036.09-17.43	 36.0962639	-17.4326636
PSZ2 G036.36+16.01	 36.3644018	 16.0156231
PSZ2 G036.69-15.67	 36.6960246	-15.6776294
PSZ2 G036.73+14.93	 36.7365515	 14.9378534
PSZ2 G036.77-16.51	 36.7769605	-16.5116103
PSZ2 G036.80-14.95	 36.8080479	-14.9503281
PSZ2 G037.05-70.55	 37.0574406	-70.5547706
PSZ2 G037.25-16.27	 37.2512847	-16.2775479
PSZ2 G037.31-21.54	 37.3106153	-21.5450898
PSZ2 G037.48+71.52	 37.4812368	 71.5252689
PSZ2 G037.67+15.71	 37.6736979	 15.7154841
PSZ2 G037.69-46.87	 37.6929504	-46.8777548
