Abell name       RA        Dec
ABELL1124S       23:27:12  -49:36
ABELL3750        21:14: 0  -49:35
ABELL277S        02:33:24  -49:34
ABELL317S        03:01:54  -49:33
ABELL3015        02:25: 0  -49:32
ABELL3271        04:33: 6  -49:32
ABELL3306        05:02:30  -49:31
ABELL3380        06:07: 0  -49:29
ABELL3311        05:04:12  -49:28
ABELL531S        05:26:54  -49:27
ABELL310S        02:54:42  -49:27
ABELL130S        01:09: 6  -49:27
ABELL99S         00:55:12  -49:26
ABELL2880        01:10:54  -49:20
ABELL346S        03:22:24  -49:19
ABELL3264        04:31:30  -49:18
ABELL3766        21:27:12  -49:15
ABELL534S        05:30:54  -49:14
ABELL2764        00:20:30  -49:13
ABELL124S        01:06: 0  -49:13
ABELL313S        02:57: 0  -49:12
ABELL3408        07:08:30  -49:12
ABELL3406        06:58:18  -49:12
ABELL3337        05:22: 6  -49:11
ABELL604S        07:17:42  -49:09
ABELL3030        02:30:42  -49:08
ABELL187S        01:44:54  -49:08
ABELL457S        04:26:54  -49:07
ABELL360S        03:33:18  -49:07
ABELL3317        05:07:18  -49:07
ABELL129S        01:08:48  -49:06
ABELL1143S       23:44:54  -49:06
ABELL81S         00:48:18  -49:06
ABELL808S        19:00:42  -49:05
ABELL3407        07:05: 0  -49:04
ABELL3863        22:20: 0  -49:04
ABELL3330        05:14:42  -49:03
ABELL3302        05:00:42  -49:02
ABELL3280        04:37:54  -48:59
ABELL2918        01:30: 6  -48:57
ABELL2841        00:55: 6  -48:56
ABELL3839        22:10:30  -48:55
ABELL3085        03:03:48  -48:55
ABELL3877        22:26:18  -48:54
ABELL2886        01:14: 6  -48:53
ABELL3228        04:11: 6  -48:51
ABELL3113        03:17:48  -48:49
ABELL1085S       23:04:48  -48:49
ABELL931S        21:19: 6  -48:48
ABELL204S        01:55:18  -48:48
ABELL3060        02:51:36  -48:41
ABELL234S        02:13:48  -48:40
ABELL149S        01:20: 6  -48:37
ABELL3179        03:52:18  -48:36
ABELL3841        22:11:24  -48:35
ABELL3009        02:22: 6  -48:34
ABELL2830        00:51:12  -48:34
ABELL431S        04:12:48  -48:32
ABELL876S        20:29:12  -48:31
ABELL3283        04:41: 6  -48:30
ABELL2889        01:14:48  -48:30
ABELL3399        06:37:18  -48:29
ABELL1082S       23:03:12  -48:28
ABELL2863        01:05: 0  -48:28
ABELL455S        04:26: 6  -48:27
ABELL3057        02:49:12  -48:24
ABELL851S        20:09:54  -48:23
ABELL3820        21:52:30  -48:23
ABELL650S        11:04:48  -48:17
ABELL2998        02:16:18  -48:16
ABELL3338        05:22:36  -48:16
ABELL3987        23:16:48  -48:16
ABELL78S         00:47:30  -48:14
ABELL878S        20:31:12  -48:14
ABELL4076        00:01:48  -48:14
ABELL218S        02:01:42  -48:14
ABELL3090        03:08:24  -48:13
ABELL3883        22:30: 6  -48:10
ABELL1044S       22:36:48  -48:10
ABELL3361        05:40:54  -48:09
ABELL92S         00:53:24  -48:09
ABELL341S        03:20: 6  -48:06
ABELL542S        05:45: 0  -48:05
ABELL3818        21:51:24  -48:02
ABELL945S        21:26:18  -48:01
ABELL3004        02:18:54  -48:00
ABELL1110S       23:19: 0  -47:59
ABELL3363        05:45: 6  -47:56
ABELL135S        01:10:54  -47:53
ABELL419S        04:06: 0  -47:50
ABELL230S        02:11:54  -47:50
ABELL3845        22:14:30  -47:49
ABELL239S        02:16:48  -47:49
ABELL3345        05:27: 0  -47:49
ABELL86S         00:50: 0  -47:48
ABELL3055        02:48:18  -47:48
ABELL3100        03:13:48  -47:47
ABELL117S        01:01:48  -47:45
ABELL3316        05:06:54  -47:45
ABELL3876        22:26:18  -47:44
ABELL290S        02:39:36  -47:43
ABELL1089S       23:09:12  -47:42
ABELL173S        01:36:48  -47:40
ABELL670S        11:37:24  -47:38
ABELL642S        10:42:54  -47:37
ABELL569S        06:09:36  -47:37
ABELL3108        03:15:12  -47:37
ABELL3348        05:28:12  -47:37
ABELL503S        04:51:30  -47:37
ABELL3072        02:57:18  -47:36
ABELL2836        00:53:42  -47:36
ABELL142S        01:14:18  -47:35
ABELL3352        05:32:18  -47:33
ABELL1153S       23:49:18  -47:31
ABELL59S         00:30:36  -47:31
ABELL3834        22:05:48  -47:31
ABELL292S        02:44:42  -47:29
ABELL1108S       23:18: 0  -47:27
ABELL495S        04:43: 6  -47:26
ABELL547S        05:48:12  -47:25
ABELL3745        21:07:42  -47:24
ABELL3093        03:10:54  -47:23
ABELL3792        21:38: 0  -47:23
ABELL3349        05:29:36  -47:23
ABELL85S         00:49:54  -47:22
ABELL3346        05:27:18  -47:21
ABELL324S        03:10: 0  -47:19
ABELL150S        01:20:30  -47:19
ABELL62S         00:34:54  -47:19
ABELL853S        20:10:54  -47:12
ABELL267S        02:27: 6  -47:12
ABELL3343        05:25:54  -47:12
ABELL924S        21:07:54  -47:10
ABELL543S        05:46: 0  -47:10
ABELL2713        00:02:36  -47:09
ABELL3347        05:27:36  -47:08
ABELL3742        21:06:42  -47:08
ABELL2988        02:12:54  -47:07
ABELL3811        21:47:42  -47:06
ABELL3798        21:40: 0  -47:06
ABELL420S        04:06:12  -47:06
ABELL3130        03:31:36  -47:05
ABELL557S        05:57:30  -47:05
ABELL959S        21:37:30  -47:02
ABELL3720        20:56:36  -47:01
ABELL3071        02:56:54  -46:59
ABELL1147S       23:46:24  -46:58
ABELL802S        18:27:54  -46:56
ABELL655S        11:10:48  -46:55
ABELL2870        01:07:42  -46:54
ABELL2914        01:28:30  -46:53
ABELL1037S       22:34: 6  -46:52
ABELL3725        20:58:42  -46:52
ABELL2835        00:53: 0  -46:51
ABELL50S         00:27:12  -46:49
ABELL3204        04:01:24  -46:48
ABELL321S        03:05:18  -46:46
ABELL3673        20:20:48  -46:45
ABELL4075        00:01: 6  -46:44
ABELL3254        04:25:30  -46:44
ABELL328S        03:12:42  -46:43
ABELL3589        14:15:42  -46:42
ABELL673S        11:40:18  -46:41
ABELL689S        12:11: 6  -46:40
ABELL96S         00:54:48  -46:39
ABELL939S        21:21:24  -46:36
ABELL505S        04:58: 6  -46:36
ABELL3925        22:51:48  -46:35
ABELL4073        00:00:42  -46:33
ABELL335S        03:17: 6  -46:31
ABELL971S        21:46:12  -46:31
ABELL3247        04:21:12  -46:28
ABELL3047        02:45:12  -46:27
ABELL1169S       00:00:48  -46:24
ABELL3255        04:27:12  -46:24
ABELL2752        00:16:18  -46:23
ABELL438S        04:18:42  -46:22
ABELL822S        19:37:36  -46:22
ABELL2743        00:14: 0  -46:21
ABELL3937        22:54:18  -46:21
ABELL3632        18:39:42  -46:19
ABELL3059        02:51: 0  -46:18
ABELL1066S       22:50:12  -46:16
ABELL2916        01:29: 0  -46:15
ABELL3236        04:14:12  -46:12
ABELL2937        01:43:30  -46:12
ABELL639S        10:40:36  -46:11
ABELL398S        03:54:48  -46:08
ABELL468S        04:31:42  -46:06
ABELL3252        04:23:42  -46:06
ABELL654S        11:10:42  -46:04
ABELL3279        04:37:54  -46:04
ABELL526S        05:23:12  -46:03
ABELL3400        06:40:48  -46:02
ABELL1060S       22:46:42  -46:01
ABELL2905        01:23: 6  -46:01
ABELL3802        21:45:42  -46:01
ABELL974S        21:48:12  -46:01
ABELL3910        22:45:54  -45:59
ABELL1140S       23:39:30  -45:58
ABELL356S        03:29:36  -45:58
ABELL3862        22:20: 0  -45:56
ABELL3133        03:32:42  -45:56
ABELL3246        04:21: 6  -45:55
ABELL2877        01:09:48  -45:54
ABELL155S        01:24:36  -45:54
ABELL446S        04:23: 0  -45:53
ABELL3234        04:13:30  -45:53
ABELL3270        04:33: 0  -45:50
ABELL3831        22:03:18  -45:49
ABELL3749        21:10:12  -45:48
ABELL681S        11:56: 6  -45:47
ABELL456S        04:26:42  -45:46
ABELL3952        23:00:12  -45:46
ABELL2825        00:48:30  -45:45
ABELL3111        03:17:48  -45:44
ABELL824S        19:40:24  -45:38
ABELL5S          00:04:36  -45:37
ABELL928S        21:18: 0  -45:36
ABELL3235        04:14: 6  -45:33
ABELL345S        03:21:48  -45:32
ABELL393S        03:48:18  -45:32
ABELL3314        05:05:48  -45:29
ABELL3648        19:44: 0  -45:28
ABELL3754        21:15:24  -45:28
ABELL1002S       22:12:12  -45:28
ABELL3104        03:14:18  -45:24
ABELL933S        21:19:36  -45:23
ABELL486S        04:40:12  -45:21
ABELL3036        02:36:54  -45:21
ABELL1067S       22:50:42  -45:20
ABELL3322        05:10:36  -45:19
ABELL3953        23:00:18  -45:18
ABELL738S        13:38: 0  -45:18
ABELL3359        05:37:30  -45:18
ABELL1052S       22:39:36  -45:18
ABELL3757        21:18:36  -45:14
