Abell name       RA        Dec
ABELL2775        00:25:42  -68:56
ABELL4007        23:28:36  -68:55
ABELL75S         00:45:36  -68:49
ABELL3776        21:32:42  -68:44
ABELL172S        01:35:36  -68:39
ABELL450S        04:23: 6  -68:38
ABELL1078S       23:00:30  -68:37
ABELL4047        23:50:36  -68:26
ABELL331S        03:12:18  -68:25
ABELL1087S       23:07: 0  -68:24
ABELL409S        03:57:30  -68:20
ABELL24S         00:18:12  -68:10
ABELL236S        02:14:18  -68:09
ABELL3119        03:19:54  -68:05
ABELL2714        00:02:30  -68:03
ABELL3979        23:13:18  -67:58
ABELL3662        20:08: 6  -67:54
ABELL19S         00:15:30  -67:50
ABELL2735        00:11:42  -67:48
ABELL598S        06:48:48  -67:48
ABELL4040        23:48:18  -67:47
ABELL164S        01:32:54  -67:46
ABELL3990        23:18:48  -67:46
ABELL804S        18:37:12  -67:45
ABELL131S        01:09:12  -67:43
ABELL8S          00:06:54  -67:40
ABELL31S         00:20:24  -67:40
ABELL4050        23:52:12  -67:40
ABELL3982        23:14:30  -67:35
ABELL2859        01:02:12  -67:34
ABELL3974        23:08: 6  -67:28
ABELL29S         00:19:24  -67:23
ABELL254S        02:23:12  -67:21
ABELL299S        02:47:48  -67:16
ABELL3789        21:38:12  -67:15
ABELL913S        21:00:36  -67:07
ABELL34S         00:22:18  -67:04
ABELL349S        03:22:54  -67:00
ABELL3021        02:26:54  -67:00
ABELL826S        19:44:18  -66:59
ABELL2864        01:04:42  -66:55
ABELL1166S       23:59:42  -66:54
ABELL467S        04:30:12  -66:54
ABELL3781        21:34:36  -66:50
ABELL112S        00:58:24  -66:48
ABELL984S        22:01:42  -66:42
ABELL991S        22:05:54  -66:41
ABELL794S        17:28:36  -66:41
ABELL3035        02:35:54  -66:36
ABELL311S        02:54:24  -66:24
ABELL3722        20:58:30  -66:22
ABELL4017        23:35: 6  -66:22
ABELL355S        03:28: 0  -66:21
ABELL2737        00:12: 0  -66:20
ABELL285S        02:35: 6  -66:18
ABELL1148S       23:46:36  -66:13
ABELL843S        20:06:42  -66:11
ABELL2746        00:14:12  -66:04
ABELL3080        03:00:30  -66:03
ABELL382S        03:43:18  -66:00
ABELL3994        23:21: 6  -66:00
ABELL282S        02:34:18  -65:58
ABELL417S        04:03:42  -65:57
ABELL2770        00:24:12  -65:55
