PSZ2 G294.31-14.18
PSZ2 G104.71-54.54
PSZ2 G042.81-82.97
PSZ2 G229.23-17.23
PSZ2 G280.23-53.84
PSZ2 G139.62+24.18
PSZ2 G285.87-74.93
PSZ2 G167.44-38.06
PSZ2 G216.44-29.11
PSZ2 G142.39+22.80
PSZ2 G086.28+74.76
PSZ2 G031.93+78.71
PSZ2 G213.39+80.59
PSZ2 G135.19+57.88
PSZ2 G222.77+60.67
PSZ2 G195.65-17.67
PSZ2 G193.63+54.85
PSZ2 G199.75+46.59
PSZ2 G295.19-56.99
PSZ2 G167.98-59.95
PSZ2 G196.65-45.51
PSZ2 G256.67+42.05
PSZ2 G118.34+68.79
PSZ2 G249.80-68.11
PSZ2 G310.22+23.02
PSZ2 G192.40-67.89
PSZ2 G272.65+32.50
PSZ2 G272.08-40.16
PSZ2 G136.64-25.03
PSZ2 G225.93-19.99
PSZ2 G339.47+63.56
PSZ2 G264.92+44.70
PSZ2 G180.27-29.53
PSZ2 G346.36-77.71
PSZ2 G159.91-73.50
PSZ2 G124.20-36.48
PSZ2 G286.28-38.36
PSZ2 G278.56+10.74
PSZ2 G115.25-72.07
PSZ2 G232.27+12.59
PSZ2 G307.56-10.74
PSZ2 G106.61+66.71
PSZ2 G176.07-26.95
PSZ2 G153.29+36.56
PSZ2 G259.30+84.41
PSZ2 G152.33+81.28
PSZ2 G144.33+62.85
PSZ2 G018.64-83.11
PSZ2 G175.60+35.47
PSZ2 G255.60-46.18
PSZ2 G269.31-49.87
PSZ2 G303.75-32.86
PSZ2 G323.96+43.81
PSZ2 G259.22-19.10
PSZ2 G234.52+82.85
PSZ2 G132.47-17.27
PSZ2 G257.72+17.85
PSZ2 G286.32-30.62
PSZ2 G144.81-49.86
PSZ2 G231.70-07.80
PSZ2 G278.94-17.62
PSZ2 G225.48+29.41
PSZ2 G290.19+30.16
PSZ2 G224.01-11.14
PSZ2 G111.61-45.71
PSZ2 G271.55+26.00
PSZ2 G156.24+22.32
PSZ2 G283.26+77.37
PSZ2 G278.74-45.26
PSZ2 G200.95-28.16
PSZ2 G212.44+63.19
PSZ2 G128.15-24.71
PSZ2 G117.38-52.47
PSZ2 G114.83+57.25
PSZ2 G315.36+38.54
PSZ2 G247.14+25.88
PSZ2 G057.80+88.00
PSZ2 G136.92+59.46
PSZ2 G235.56+23.29
PSZ2 G285.28-47.35
PSZ2 G225.76-17.35
PSZ2 G226.75+48.95
PSZ2 G261.67-10.97
PSZ2 G201.54+30.62
PSZ2 G251.55-42.78
PSZ2 G198.73+13.34
PSZ2 G114.79-33.71
PSZ2 G224.86-79.51
PSZ2 G233.25-30.01
PSZ2 G179.45-43.92
PSZ2 G273.54-30.28
PSZ2 G231.74-70.59
PSZ2 G230.48+71.51
PSZ2 G313.33+30.29
PSZ2 G253.95+39.12
PSZ2 G126.28+65.62
PSZ2 G141.98+69.31
PSZ2 G306.50+38.50
PSZ2 G343.33+83.19
PSZ2 G252.45+73.44
PSZ2 G250.04+24.14
PSZ2 G114.90-34.35
PSZ2 G306.66+61.06
PSZ2 G237.68+57.83
PSZ2 G153.56+36.82
PSZ2 G305.76+44.79
PSZ2 G272.11-11.50
PSZ2 G134.26-44.28
PSZ2 G152.40+75.00
PSZ2 G283.16-22.91
PSZ2 G262.36-25.15
PSZ2 G288.87-32.97
PSZ2 G229.93+15.30
PSZ2 G138.61-10.84
PSZ2 G302.49+21.53
PSZ2 G113.02-64.68
PSZ2 G114.81-11.80
PSZ2 G125.55+32.72
PSZ2 G243.64+67.74
PSZ2 G131.19+14.48
PSZ2 G288.15-39.04
PSZ2 G271.18-30.95
PSZ2 G122.89-36.82
PSZ2 G040.58+77.12
PSZ2 G165.41+25.93
PSZ2 G254.96+55.88
PSZ2 G243.34-50.92
PSZ2 G253.48-33.72
PSZ2 G266.83+25.08
PSZ2 G291.34+14.70
PSZ2 G260.52-54.50
PSZ2 G143.62+42.61
PSZ2 G252.51+20.02
PSZ2 G297.84+26.03
PSZ2 G275.73-06.12
PSZ2 G210.02-56.38
PSZ2 G137.58+53.88
PSZ2 G278.33-41.53
PSZ2 G143.00-77.70
PSZ2 G116.32-36.33
PSZ2 G025.07-78.64
PSZ2 G118.56-13.14
PSZ2 G249.52+18.21
PSZ2 G167.63-43.99
PSZ2 G263.65+27.87
PSZ2 G295.63-51.96
PSZ2 G204.10+16.51
PSZ2 G149.63-84.19
PSZ2 G123.35+25.39
PSZ2 G224.00+69.33
PSZ2 G210.71+63.08
PSZ2 G247.97+33.52
PSZ2 G281.09-42.51
PSZ2 G265.86-19.93
PSZ2 G229.74+77.96
PSZ2 G153.80+33.79
PSZ2 G286.07-42.75
PSZ2 G269.57+15.70
PSZ2 G208.57-44.31
PSZ2 G214.08+23.15
PSZ2 G287.55-14.25
PSZ2 G302.85-88.63
PSZ2 G164.85-16.55
